,age_avg,bra_id,cidade,cnae_id,distance,ibge_id,instituicao,num_emp,num_emp_growth,num_emp_growth_5,num_est,num_jobs,opp_gain,rca,wage,wage_avg,wage_growth,wage_growth_5,year,industry_section,industry_class
0,None,4mg070809,Muzambinho,01512,0.7340000000000001,3144102,IFSUL,None,None,None,None,None,0.237,None,None,None,None,None,2002,Agropecuária,Criação de bovinos
1,39.083,4mg050413,Montes Claros,01512,0.594,3143302,IFNMG,778,-0.019,0.004,413,779,0.65,1.647,433897.94,556.99,0.124,0.128,2009,Agropecuária,Criação de bovinos
2,39.229,4mg100209,Governador Valadares,01512,0.546,3127701,IFMG,846,0.061,0.017,397,847,0.777,2.612,514648.64,607.61,0.194,0.143,2009,Agropecuária,Criação de bovinos
3,37.99,4mg030000,Belo Horizonte,01512,0.8170000000000001,3106200,IFMG,919,-0.166,-0.031,210,919,-0.23199999999999998,0.107,935990.73,1018.49,0.003,0.092,2009,Agropecuária,Criação de bovinos
4,37.522,4mg090112,Teofilo Otoni,01512,0.594,3168606,IFNMG,969,0.04,0.074,458,969,0.67,6.888,506803.16,523.02,0.164,0.2,2009,Agropecuária,Criação de bovinos
5,39.669,4mg080609,Uberlandia,01512,0.578,3170206,IFTM,1204,0.013,0.055,546,1204,0.65,1.074,909020.75,755.00,0.102,0.141,2009,Agropecuária,Criação de bovinos
6,39.114,4mg080505,Uberaba,01512,0.522,3170107,IFTM,1721,-0.034,0.035,739,1724,0.898,4.163,1456057.35,844.58,0.094,0.165,2009,Agropecuária,Criação de bovinos
7,46.5,4mg030007,Ibirite,01512,0.8370000000000001,3129806,IFMG,2,1.0,-0.078,1,2,-0.235,0.028,2395.90,1197.95,1.576,0.208,2010,Agropecuária,Criação de bovinos
8,33.5,4mg030018,Sabara,01512,0.8170000000000001,3156700,IFMG,6,0.0,0.0,5,6,-0.17800000000000002,0.066,4551.09,758.52,0.217,0.169,2010,Agropecuária,Criação de bovinos
9,42.5,4mg110209,Manhuacu,01512,0.6659999999999999,3139409,IFSudeste,8,0.143,-0.044,4,8,0.379,0.08,4584.95,573.12,0.623,0.072,2010,Agropecuária,Criação de bovinos
10,38.464,4mg080306,Patos de Minas,01512,0.519,3148004,IFTM,745,-0.079,0.05,361,745,0.9390000000000001,4.316,537186.70,721.06,0.014,0.161,2009,Agropecuária,Criação de bovinos
