,Articulação,Campus,Curso,Instituição,Nível
0,"['Integrado', 'Subsequente']",Congonhas,Mecânica,IFMG,Técnico
1,"['Integrado', 'Subsequente']",Congonhas,Edificações,IFMG,Técnico
2,"['Integrado', 'Subsequente']",Congonhas,Mineração,IFMG,Técnico
3,['Bacharelado'],Congonhas,Engenharia de Produção,IFMG,Superior
4,['Bacharelado'],Congonhas,Engenharia Mecânica,IFMG,Superior
5,['Licenciatura'],Congonhas,Física,IFMG,Superior
6,['Licenciatura'],Congonhas,Letras,IFMG,Superior
7,"['Integrado', 'Subsequente']",Conselheiro Lafaiete,Eletrotécnica,IFMG,Técnico
8,"['Integrado', 'Subsequente']",Conselheiro Lafaiete,Mecânica,IFMG,Técnico
9,['Integrado'],Governador Valadares,Edificações,IFMG,Técnico
10,['Integrado'],Governador Valadares,Meio Ambiente,IFMG,Técnico
11,"['Integrado', 'Subsequente']",Governador Valadares,Segurança do Trabalho,IFMG,Técnico
12,['Subsequente'],Governador Valadares,Serviços Jurídicos,IFMG,Técnico
13,['Bacharelado'],Governador Valadares,Engenharia Ambiental e Sanitária,IFMG,Superior
14,['Bacharelado'],Governador Valadares,Engenharia de Produção,IFMG,Superior
15,['Bacharelado'],Governador Valadares,Engenharia Civil,IFMG,Superior
16,['Tecnologia'],Governador Valadares,Gestão Ambiental,IFMG,Superior
17,['Especialização lato sensu'],Governador Valadares,Engenharia de Segurança do Trabalho,IFMG,Pós-Graduação
18,['Subsequente'],Piumhi,Edificações,IFMG,Técnico
19,['Bacharelado'],Piumhi,Engenharia Civil,IFMG,Superior
20,['Integrado'],Ouro Branco,Administração,IFMG,Técnico
21,['Integrado'],Ouro Branco,Informática,IFMG,Técnico
22,['Integrado'],Ouro Branco,Metalurgia,IFMG,Técnico
23,['Bacharelado'],Ouro Branco,Administração,IFMG,Superior
24,['Bacharelado'],Ouro Branco,Engenharia Metalúrgica,IFMG,Superior
25,['Bacharelado'],Ouro Branco,Sistemas de Informação,IFMG,Superior
26,['Licenciatura'],Ouro Branco,Computação,IFMG,Superior
27,['Licenciatura'],Ouro Branco,Pedagogia,IFMG,Superior
28,['Mestrado Profissional stricto sensu'],Ouro Branco,Educação Profissional e Tecnológica,IFMG,Pós-Graduação
29,['Subsequente'],Ipatinga,Segurança do Trabalho,IFMG,Técnico
30,['Subsequente'],Ipatinga,Mecânica,IFMG,Técnico
31,['Subsequente'],Ipatinga,Eletrotécnica,IFMG,Técnico
32,['Bacharelado'],Ipatinga,Engenharia Elétrica,IFMG,Superior
33,['FIC'],Ouro Preto,Design de Joias,IFMG,FIC nível intermediário
34,['FIC'],Ouro Preto,Joalheria Artesanal,IFMG,FIC módulo básico
35,['FIC'],Ouro Preto,Lapidação de Gemas,IFMG,FIC módulo básico
36,['FIC'],Ouro Preto,Leitura e Produção Textual,IFMG,FIC módulo básico
37,['FIC'],Ouro Preto,LIBRAS,IFMG,FIC módulo básico
38,['FIC'],Ouro Preto,Planejamento de Lavra de Mina com o Software Micromine,IFMG,FIC módulo básico
39,['FIC'],Ouro Preto,Tecnologia Cervejeira,IFMG,FIC módulo básico
40,['FIC'],Ouro Preto,Vitrines Temáticas para Joalheria,IFMG,FIC módulo básico
41,['EAD'],Ouro Preto,Automação Industrial,IFMG,Técnico
42,['EAD'],Ouro Preto,Controle Ambiental,IFMG,Técnico
43,['EAD'],Ouro Preto,Edificações,IFMG,Técnico
44,['EAD'],Ouro Preto,Eletroeletrônica,IFMG,Técnico
45,['EAD'],Ouro Preto,Hospedagem,IFMG,Técnico
46,['EAD'],Ouro Preto,Metalurgia,IFMG,Técnico
47,['EAD'],Ouro Preto,Serviços Públicos,IFMG,Técnico
48,['Integrado'],Ouro Preto,Administração,IFMG,Técnico
49,['Integrado'],Ouro Preto,Automação Industrial,IFMG,Técnico
50,"['Integrado', 'Subsequente']",Ouro Preto,Edificações,IFMG,Técnico
51,"['Integrado', 'Subsequente']",Ouro Preto,Metalurgia,IFMG,Técnico
52,"['Integrado', 'Subsequente']",Ouro Preto,Mineração,IFMG,Técnico
53,['Subsequente'],Ouro Preto,Meio Ambiente,IFMG,Técnico
54,['Subsequente'],Ouro Preto,Segurança do Trabalho,IFMG,Técnico
55,['Tecnologia'],Ouro Preto,Conservação e Restauro,IFMG,Superior
56,['Tecnologia'],Ouro Preto,Gastronomia,IFMG,Superior
57,['Tecnologia'],Ouro Preto,Gestão da Qualidade,IFMG,Superior
58,['Licenciatura'],Ouro Preto,Física,IFMG,Superior
59,['Licenciatura'],Ouro Preto,Geografia,IFMG,Superior
60,['Especialização lato sensu'],Ouro Preto,Educação Matemática,IFMG,Pós-Graduação
61,['Integrado'],Itapirito,Automação Industrial,IFMG,Técnico
62,['Subsequente'],Itapirito,Eletroeletrônica,IFMG,Técnico
63,['Bacharelado'],Itapirito,Engenharia Eletrônica,IFMG,Superior
64,['Integrado'],Ribeirão das Neves,Administração,IFMG,Técnico
65,['Integrado'],Ribeirão das Neves,Informática,IFMG,Técnico
66,['Integrado'],Ribeirão das Neves,Eletroeletrônica,IFMG,Técnico
67,['Tecnologia'],Ribeirão das Neves,Processos Gerenciais,IFMG,Superior
68,['Bacharelado'],Ribeirão das Neves,Administração,IFMG,Superior
69,['Especialização lato sensu'],Ribeirão das Neves,Gestão Pública e Desenvolvimento Regional,IFMG,Pós-Graduação
70,"['Integrado', 'Subsequente']",Ponte Nova,Administração,IFMG,Técnico
71,"['Integrado', 'Subsequente']",Ponte Nova,Informática,IFMG,Técnico
72,['Integrado'],Sabará,Administração,IFMG,Técnico
73,['Integrado'],Sabará,Informática,IFMG,Técnico
74,['Integrado'],Sabará,Eletrônica,IFMG,Técnico
75,['Bacharelado'],Sabará,Sistemas de Informação,IFMG,Superior
76,['Bacharelado'],Sabará,Engenharia de Controle e Automação,IFMG,Superior
77,['Tecnologia'],Sabará,Logística,IFMG,Superior
78,['Tecnologia'],Sabará,Processos Gerenciais,IFMG,Superior
79,['Integrado'],Formiga,Administração,IFMG,Técnico
80,['Integrado'],Formiga,Eletrotécnica,IFMG,Técnico
81,['Integrado'],Formiga,Informática,IFMG,Técnico
82,['Bacharelado'],Formiga,Administração,IFMG,Superior
83,['Bacharelado'],Formiga,Ciência da Computação,IFMG,Superior
84,['Bacharelado'],Formiga,Engenharia Elétrica,IFMG,Superior
85,['Licenciatura'],Formiga,Matemática,IFMG,Superior
86,['Tecnologia'],Formiga,Gestão Financeira,IFMG,Superior
87,['Integrado'],Santa Luzia,Edificações,IFMG,Técnico
88,['Subsequente'],Santa Luzia,Paisagismo,IFMG,Técnico
89,['Subsequente'],Santa Luzia,Segurança do Trabalho,IFMG,Técnico
90,['Bacharelado'],Santa Luzia,Arquitetura e Urbanismo,IFMG,Superior
91,['Tecnologia'],Santa Luzia,Design de Interiores,IFMG,Superior
92,['Bacharelado'],Santa Luzia,Engenharia Civil,IFMG,Superior
93,['Integrado'],Bambuí,Administração,IFMG,Técnico
94,"['Integrado', 'Subsequente']",Bambuí,Agropecuária,IFMG,Técnico
95,['Integrado'],Bambuí,Informática,IFMG,Técnico
96,"['Integrado', 'Subsequente']",Bambuí,Manutenção Automotiva,IFMG,Técnico
97,['Integrado'],Bambuí,Meio Ambiente,IFMG,Técnico
98,['Bacharelado'],Bambuí,Administração,IFMG,Superior
99,['Bacharelado'],Bambuí,Agronomia,IFMG,Superior
100,['Bacharelado'],Bambuí,Engenharia de Alimentos,IFMG,Superior
101,['Bacharelado'],Bambuí,Engenharia de Computação,IFMG,Superior
102,['Bacharelado'],Bambuí,Engenharia de Produção,IFMG,Superior
103,['Bacharelado'],Bambuí,Medicina Veterinária,IFMG,Superior
104,['Bacharelado'],Bambuí,Zootecnia,IFMG,Superior
105,['Licenciatura'],Bambuí,Física,IFMG,Superior
106,['Licenciatura'],Bambuí,Ciências Biológicas,IFMG,Superior
107,['Mestrado Profissional stricto sensu'],Bambuí,Sustentabilidade e Tecnologia Ambiental,IFMG,Pós-Graduação
108,['EAD'],São João Evangelista,Artesanato,IFMG,Técnico
109,['EAD'],São João Evangelista,Florestas,IFMG,Técnico
110,['EAD'],São João Evangelista,Reciclagem,IFMG,Técnico
111,['Integrado'],São João Evangelista,Agropecuária,IFMG,Técnico
112,['Integrado'],São João Evangelista,Técnico,IFMG,Técnico
113,['Integrado'],São João Evangelista,Nutrição e Dietética,IFMG,Técnico
114,['Subsequente'],São João Evangelista,Agrimensura,IFMG,Técnico
115,['Bacharelado'],São João Evangelista,Administração,IFMG,Superior
116,['Bacharelado'],São João Evangelista,Agronomia,IFMG,Superior
117,['Bacharelado'],São João Evangelista,Engenharia Florestal,IFMG,Superior
118,['Bacharelado'],São João Evangelista,Sistemas de Informação,IFMG,Superior
119,['Licenciatura'],São João Evangelista,Matemática,IFMG,Superior
120,['Especialização lato sensu'],São João Evangelista,Meio Ambiente,IFMG,Pós-Graduação
121,['Especialização lato sensu'],São João Evangelista,Especialização,IFMG,Pós-Graduação
122,['EAD'],Betim,Análises Químicas,IFMG,Técnico
123,['EAD'],Betim,Informática para Internet,IFMG,Técnico
124,"['EAD', 'Integrado']",Betim,Mecânica,IFMG,Técnico
125,['Integrado'],Betim,Automação,IFMG,Técnico
126,['Integrado'],Betim,Química,IFMG,Técnico
127,['Bacharelado'],Betim,Engenharia de Controle e Automação,IFMG,Superior
128,['Bacharelado'],Betim,Engenharia Mecânica,IFMG,Superior
129,['EAD'],Arcos,Estratégias de Ensino e Aprendizagem,IFMG,Formação Profissional
130,['Formação Profissional'],Arcos,Informática para Terceira Idade,IFMG,Formação Profissional
131,['Formação Profissional'],Arcos,modelagem 3D,IFMG,Formação Profissional
132,['Formação Profissional'],Arcos,Inglês Básico I,IFMG,Formação Profissional
133,['Bacharelado'],Arcos,Engenharia Mecânica,IFMG,Superior
134,['Especialização lato sensu'],Arcos,Docência,IFMG,Pós-Graduação
135,['Integrado'],Ibirité,Automação Industrial,IFMG,Técnico
136,['Integrado'],Ibirité,Mecatrônica,IFMG,Técnico
137,"['Integrado', 'Concomitante']",Ibirité,Sistemas de Energia Renovável,IFMG,Técnico
138,['Bacharelado'],Ibirité,Engenharia de Controle e Automação,IFMG,Superior
139,"['Integrado', 'Subsequente']",Carmo de Minas,Alimentos,IFSUL,Técnico
140,['Integrado'],Carmo de Minas,Informática,IFSUL,Técnico
141,"['Subsequente', 'EAD']",Carmo de Minas,Administração,IFSUL,Técnico
142,['Integrado'],Inconfidentes,Agrimensura,IFSUL,Técnico
143,['Integrado'],Inconfidentes,Agropecuária,IFSUL,Técnico
144,['Integrado'],Inconfidentes,Alimentos,IFSUL,Técnico
145,['Integrado'],Inconfidentes,Informática,IFSUL,Técnico
146,['Tecnologia'],Inconfidentes,Gestão Ambiental,IFSUL,Superior
147,['Tecnologia'],Inconfidentes,Redes de Computadores,IFSUL,Superior
148,['Licenciatura'],Inconfidentes,Ciências Biológicas,IFSUL,Superior
149,['Licenciatura'],Inconfidentes,Matemática,IFSUL,Superior
150,['Licenciatura'],Inconfidentes,Educação do Campo - Área Ciências Agrárias,IFSUL,Superior
151,['Licenciatura'],Inconfidentes,Pedagogia,IFSUL,Superior
152,['Licenciatura'],Inconfidentes,História,IFSUL,Superior
153,['Bacharelado'],Inconfidentes,Engenharia Ambiental,IFSUL,Superior
154,['Bacharelado'],Inconfidentes,Engenharia Agronômica,IFSUL,Superior
155,['Bacharelado'],Inconfidentes,Engenharia de Agrimensura e Cartográfica,IFSUL,Superior
156,['Bacharelado'],Inconfidentes,Engenharia de Alimentos,IFSUL,Superior
157,['Especialização lato sensu'],Inconfidentes,Educação Infantil,IFSUL,Pós-Graduação
158,['Especialização lato sensu'],Inconfidentes,Educação Matemática,IFSUL,Pós-Graduação
159,['Especialização lato sensu'],Inconfidentes,Gestão Ambiental,IFSUL,Pós-Graduação
